Language,Count,Percent,Percent prefix sum
haml,67410,0.09783366286098893,97.70543124428396
llvm,63694,0.09244054772686293,97.79787179201082
scheme,63476,0.09212415937938191,97.8899959513902
objective-c++,62847,0.09121127740431052,97.98120722879452
protocol-buffer,61020,0.0885597108407884,98.0697669396353
yacc,54850,0.07960504981345859,98.14937198944875
graphql,54248,0.07873135355114862,98.2281033429999
asp,52467,0.07614654783159037,98.30424989083149
xslt,49665,0.07207994164057285,98.37632983247205
nimrod,47776,0.06933839306996896,98.44566822554202
powershell,47205,0.06850968781119987,98.51417791335322
f#,46396,0.06733556775105241,98.58151348110428
vhdl,40728,0.05910947071654588,98.64062295182083
perl,39500,0.05732724644724912,98.69795019826807
cuda,39317,0.057061654394088446,98.75501185266216
sqf,39040,0.05665963800761027,98.81167149066978
org,38915,0.056478222670751886,98.86814971334053
glsl,38816,0.05633454172396005,98.92448425506448
stata,33807,0.04906486634537092,98.97354912140986
fish,32816,0.04762660555475765,99.02117572696461
saltstack,31099,0.0451346844876709,99.06631041145228
pascal,30536,0.044317589810460745,99.11062800126274
fortran,30342,0.044036033207656526,99.1546640344704
ada,28507,0.041372856062575465,99.19603689053298
liquid,28438,0.04127271479662963,99.23730960532961
qml,27166,0.039426632328758725,99.27673623765837
xquery,25644,0.037217719187171046,99.31395395684554
modelica,24524,0.03559223776891993,99.34954619461446
hcl,23229,0.033712774879067084,99.38325896949353
logos,20814,0.030207830570963122,99.41346680006448
mediawiki,20310,0.02947636393275012,99.44294316399723
nesc,19149,0.027791378284009453,99.47073454228124
agda,18634,0.027043947096152914,99.49777848937738
chapel,15892,0.023064420266827416,99.52084290964422
java-server-pages,14766,0.021430230912407103,99.54227314055662
abap,14583,0.02116463885924643,99.56343777941586
mathematica,12259,0.017791764916375366,99.58122954433225
gnuplot,12223,0.01773951729936015,99.5989690616316
factor,12142,0.01762196016107592,99.61659102179269
standard-ml,11870,0.01722720038807208,99.63381822218076
autoit,11652,0.016910812040591056,99.65072903422136
unrealscript,11067,0.016061788264093824,99.66679082248545
perl6,10927,0.015858603086812435,99.68264942557227
openscad,10563,0.015330321625880824,99.69797974719815
edn,9460,0.013729512693442449,99.71170925989159
antlr,9243,0.013414575668656295,99.72512383556025
mako,9211,0.013368133342420548,99.73849196890268
g-code,8571,0.012439286817705626,99.75093125572039
idris,8424,0.012225942381560167,99.76315719810195
pure-data,7327,0.010633841385290997,99.77379103948724
lilypond,7265,0.010543859378209237,99.78433489886544
jasmin,7126,0.010342125523622715,99.79467702438906
sourcepawn,6947,0.01008233876124151,99.8047593631503
stan,6533,0.009481491165566545,99.81424085431587
squirrel,6124,0.008887900183365915,99.82312875449924
mirah,5637,0.008181106030965652,99.8313098605302
max,5580,0.008098380637358231,99.83940824116756
rmarkdown,5458,0.007921319268584448,99.84732956043615
kicad,5385,0.007815372711859152,99.85514493314801
postscript,5360,0.007779089644487477,99.8629240227925
alloy,5202,0.007549780658698479,99.87047380345119
ecl,5076,0.0073669139991452285,99.87784071745034
metal,4992,0.007245002892776395,99.88508572034311
yang,4843,0.007028755811241203,99.89211447615436
ren'py,4819,0.006993924066564393,99.89910840022092
boo,4694,0.00681250872970601,99.90592090895063
dm,4465,0.006480155832581451,99.91240106478321
inno-setup,3710,0.005384407197956816,99.91778547198116
jflex,3362,0.004879346900143077,99.9226648188813
ats,3239,0.0047008342086744285,99.92736565308998
brainfuck,2975,0.004317685017229522,99.9316833381072
aspectj,2854,0.004142074971150607,99.93582541307836
xojo,2836,0.004115951162643,99.93994136424101
lsl,2723,0.003951951698123022,99.94389331593914
eagle,2645,0.0038387485279233907,99.94773206446706
webidl,2618,0.0037995628151619803,99.95153162728222
ninja,2474,0.0035905723471011224,99.95512219962933
propeller-spin,2321,0.003368519974786461,99.95849071960411
apl,2024,0.0029374771344109424,99.96142819673852
monkey,1804,0.0026181861415401878,99.96404638288007
clips,1686,0.002446930063545874,99.96649331294361
cap'n-proto,1538,0.0022321343047055483,99.96872544724832
rebol,1487,0.0021581168472673278,99.97088356409559
mask,1362,0.0019767015104089443,99.972860265606
labview,1327,0.0019259052160885972,99.97478617082209
vcl,1293,0.001876560244463117,99.97666273106655
xproc,1292,0.0018751089217682497,99.97853783998832
gosu,1098,0.001593552318964039,99.98013139230729
c2hs-haskell,1079,0.0015659771877615646,99.98169736949505
lfe,1041,0.001510826925356616,99.9832081964204
clarion,1036,0.0015035703118822807,99.98471176673229
